gameid,time,roundNum,sender,contents
7264-8,1438966868133,1,matcher,"Anyone there?"
7264-8,1438966870056,1,director,"Ok #1 on my board looks like a person praying"
7264-8,1438966878453,1,director,"i don't have a clue how to describe these :/"
7264-8,1438966928113,1,director,"2 is a person sitting with the legs to the side, 4 is a person sitting hunched over with their knees up"
7264-8,1438966946175,1,director,"5 is a person flying, 6 is a person looking like a bird with their leg out"
7264-8,1438966987059,1,matcher,"what of 3?"
7264-8,1438966987331,1,director,"7 looks like a person sitting with bunny ears, 8 is a wide person standing, 9 is a person with their arms and foot up like a boogie man"
7264-8,1438967013723,1,director,"3 is a weird shape, a head at the top left and an arm at the top right and a triangle at the bottom right, and a weird long shape on the bottom left"
7264-8,1438967034392,1,director,"10 is a person praying like 1 but with their feet down instead of up in the back"
7264-8,1438967052449,1,director,"11 is like a little girl with a pony tail with her arms out to the left"
7264-8,1438967069515,1,director,"12 is like a priest with a robe on asking for money "
7264-8,1438967084089,1,director,"phew"
7264-8,1438967138581,1,director,"i don't know if any of those make sense, but hopefully a few do, haha"
7264-8,1438967170024,1,matcher,"alright i think i got them all.~~~ hopefully~~~ :)"
7264-8,1438967178393,2,director,"yay!"
7264-8,1438967207992,2,director,"ok 1 is the same as last time, praying person with their feet up in the back"
7264-8,1438967212364,2,director,"2 is the wide person"
7264-8,1438967221958,2,director,"3 is the weird thing again that makes no sense"
7264-8,1438967227411,2,director,"4 is the praying person with their feet down"
7264-8,1438967234251,2,director,"5 is the person sitting hunched over"
7264-8,1438967244635,2,director,"6 is the one standing like a bird with their foot out"
7264-8,1438967259625,2,director,"no wait, 7 is the wide person, 2 is the person with their knees out to the side"
7264-8,1438967289498,2,director,"8 is the flying one, 9 is the bunny eared one, 10 is the girl w/ ponytail asking for something, 11 is the boogie man, 12 is the priest again"
7264-8,1438967378238,2,matcher,"this one might not go so well. let's see"
7264-8,1438967389878,3,director,"good enough for me!"
7264-8,1438967393009,3,matcher,"yeah"
7264-8,1438967416518,3,director,"1 is the bird position w the foot out, 2 is the hunch back sitting, 3 is the prayer with the feet down, 4 is prayer with the feet up"
7264-8,1438967455440,3,director,"5 is boogie man, 6 is the weird one (kind of like a lounging guy in a bunny suit but with a square ear), 7 is the bunny eared one sitting"
7264-8,1438967473134,3,matcher,"describe the boogie man"
7264-8,1438967478100,3,director,"8 is the girl asking for something, 9 is the priest, 10 is the flying one, 11 is the one sitting with the knees to the side, 12 is the wide one"
7264-8,1438967498057,3,director,"the boogie man is like, a square head on the top right, and feet at the bottom with one in the air, and a hook looking thing at the top left for arms"
7264-8,1438967541958,3,director,"or like a dinosaur stomping with a flag on its back"
7264-8,1438967570041,4,matcher,"welp!"
7264-8,1438967574197,4,director,"lol close enough"
7264-8,1438967589421,4,director,"i can try to help describe them, just let me know"
7264-8,1438967595224,4,matcher,"cool"
7264-8,1438967618172,4,director,"1 is the man sitting hunched over, 2 is the girl with the ponytail begging, 3 is the wide person, 4 is the prayer with the feet up"
7264-8,1438967665315,4,director,"5 is the boogie man/dinosaur, 6 is the bird pose, 7 is the prayer with the feet down, 8 is the priest, 9 is the weird bunny lounging one with the square ear, 10 is the other bunny eared one"
7264-8,1438967679877,4,director,"11 is the knees out to the side sitting, 12 is the flying person one"
7264-8,1438967741316,4,matcher,"what is the bird pose doing"
7264-8,1438967802787,4,director,"it has a head in the top left, with two peaks/arms on the left, and one foot at the bottom, and a triangle extending on the right like a person posing with their foot up in the air behind them"
7264-8,1438967828903,5,director,"nice!"
7264-8,1438967829734,5,matcher,"got it!"
7264-8,1438967859591,5,director,"1 is the prayer with the feet down, 2 is the hunched over man sitting, 3 is the priest, 4 is the bird pose, 5 is the prayer with the feet up, 6 is the wide person"
7264-8,1438967902946,5,director,"7 is sitting with the knees out to the side, 8 is the weird bunny with the square ear, 9 is the normal bunny eared one, 10 is the flying one, 11 is boogie man/dino, 12 is ponytail girl begging"
7264-8,1438967936128,6,director,"nice"
7264-8,1438967937332,6,matcher,"boom!"
7264-8,1438967952040,6,matcher,"one last one"
7264-8,1438967963612,6,director,"1 is prayer with feet down, 2 is regular bunny ear, 3 is boogie man, 4 is pony tail girl begging, 5 is bird pose, 6 is prayer with feet up"
7264-8,1438967983015,6,director,"7 is priest, 8 is man hunched sitting, 9 is sitting with knees to the side, 10 is flying, 11 is wide person, 12 is weird bunny with square ear"
7264-8,1438967988652,6,director,"we got this!"
